Дата,Значение
2018-01-01,164800
2018-02-01,148600
2018-03-01,164100
2018-04-01,154900
2018-05-01,156700
2018-06-01,148200
2018-07-01,152400
2018-08-01,151100
2018-09-01,141700
2018-10-01,156900
2018-11-01,151500
2018-12-01,155100
2019-01-01,169500
2019-02-01,144700
2019-03-01,153500
2019-04-01,148500
2019-05-01,152800
2019-06-01,139200
2019-07-01,151900
2019-08-01,149800
2019-09-01,144500
2019-10-01,158300
2019-11-01,146100
2019-12-01,154200
2020-01-01,164100
2020-02-01,143200
2020-03-01,152700
2020-04-01,150800
2020-05-01,172800
2020-06-01,162800
2020-07-01,181500
2020-08-01,157200
2020-09-01,170700
2020-10-01,205500
2020-11-01,219500
2020-12-01,243600
2021-01-01,219800
2021-02-01,172600
2021-03-01,191300
2021-04-01,168300
2021-05-01,162200
2021-06-01,185700
2021-07-01,215300
2021-08-01,208200
2021-09-01,201500
2021-10-01,247200
2021-11-01,257300
2021-12-01,215500
2022-01-01,192100
2022-02-01,190000
2022-03-01,201300
2022-04-01,149400
2022-05-01,146300
2022-06-01,140500
2022-07-01,144300
2022-08-01,153300
2022-09-01,148200
2022-10-01,154500
2022-11-01,150700
2022-12-01,164540
2023-01-01,168400
2023-02-01,141300
2023-03-01,152200
2023-04-01,137400
2023-05-01,152700
2023-06-01,140400
2023-07-01,142300
2023-08-01,145100
2023-09-01,136800
2023-10-01,150100
2023-11-01,146700
2023-12-01,151500
