Дата,Значение
2018-01-01,39017
2018-02-01,40443
2018-03-01,42364
2018-04-01,43381
2018-05-01,44076
2018-06-01,45848
2018-07-01,42413
2018-08-01,41364
2018-09-01,41774
2018-10-01,42332
2018-11-01,42595
2018-12-01,55569
2019-01-01,42263
2019-02-01,43062
2019-03-01,46324
2019-04-01,48030
2019-05-01,47926
2019-06-01,49348
2019-07-01,46509
2019-08-01,44961
2019-09-01,45541
2019-10-01,46549
2019-11-01,46285
2019-12-01,62239
2020-01-01,46674
2020-02-01,47257
2020-03-01,50948
2020-04-01,49306
2020-05-01,50747
2020-06-01,52123
2020-07-01,50145
2020-08-01,47649
2020-09-01,49259
2020-10-01,49539
2020-11-01,49274
2020-12-01,69278
2021-01-01,49516
2021-02-01,51229
2021-03-01,55208
2021-04-01,56614
2021-05-01,56171
2021-06-01,58782
2021-07-01,55170
2021-08-01,52355
2021-09-01,54687
2021-10-01,54649
2021-11-01,55639
2021-12-01,77994
2022-01-01,55717
2022-02-01,57344
2022-03-01,66757
2022-04-01,62269
2022-05-01,62457
2022-06-01,66572
2022-07-01,62200
2022-08-01,59907
2022-09-01,61879
2022-10-01,62470
2022-11-01,63060
2022-12-01,88468
2023-01-01,63260
2023-02-01,65094
2023-03-01,71334
2023-04-01,71204
2023-05-01,72851
2023-06-01,76604
2023-07-01,71419
2023-08-01,69439
2023-09-01,70922
2023-10-01,73830
2023-11-01,73383
2023-12-01,103815
